DOW,DOW_NBR_PRIMARY,FISHERIES_WATERBODY_ID,WATERSHED_MINOR_ID,DOW_SUB_BASIN_NBR_PRIMARY,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,PLS_SECTION_ID_LAKE_CENTER,LAKE_NAME,ALT_LAKE_NAME,mean.gdd,area.hectares,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_PLANIMETERED_ACRES,MAX_DEPTH_FEET,MEAN_DEPTH_FEET,PDIST_cum,SHORE_LENGTH_MILES,MAX_FETCH_MILES,littoral.zone,LITTORAL_AREA_ACRES,secchi.m,FETCH_ORIENTATION_DEGREES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING
86022700,860227,4044,17009,0,24,NA,12102727,Cedar,NA,2733.201654,319.8233458,837,790.3,837,108,29.5,0.631681707,7.23,2,0.41220725,315,2.0175,NA,45.26571,-94.06201,416475.8,5013416.9
86022900,860229,4287,17004,0,38,NA,12102724,Mink,NA,2817.869178,113.2068616,304,279.74,301,39,6.4,0.730311907,5.77,0.92,0.8232815,276,0.8175,360,45.27383,-94.02664,419483.8,5013854.6
86023000,860230,4288,17004,0,30,NA,12102725,Somers,NA,2817.869178,61.2492261,156,151.35,158,21,10.2,0.690399137,2.11,0.65,0.3751729,128,0.91,315,45.26393,-94.02684,419456.6,5012804.5
86023300,860233,3823,17072,0,24,NA,12102702,Sugar,NA,2685.694003,412.7756731,1145,1019.99,1015,69,25.1,0.484566877,10.63,2.3,0.4831948,357,3.05,45,45.31775,-94.03783,418531.4,5018739.6
86023400,860234,4050,17008,0,24,NA,12102705,Bass,NA,2679.949162,90.03049442,234,222.47,218,34,16.9,0.528962002,3.02,0.77,1,96,4.26,202,45.32167,-94.1026,413610.9,5019309.3
86024300,860243,4100,17008,0,30,NA,12202732,Grass,NA,2617.055767,28.92290842,123,71.47,92,35,9.9,0.680751468,2.23,0.61,0.8426384,61.6,2.67,360,45.33096,-94.11247,412803.4,5020229.9
86025100,860251,4062,17073,0,24,NA,12102719,Pleasant,NA,2722.102612,241.597542,639,597,509,74,16,0.645850174,4.17,1.45,0.8273763,260,2.59,NA,45.27487,-94.12517,411779.6,5014106.7
86026300,860263,4025,18016,0,24,NA,11902814,Cokato,NA,2796.860441,223.7023271,544,552.78,539,52,21.5,0.892827318,4.66,1.5,0.3389337,184,1.7,360,45.10975,-94.16798,408225,4995874.2
86026600,860266,4063,18083,0,30,NA,11902801,Mud,Heidi's,2721.590069,22.90118074,56,56.59,55,65,20.5,0.75177305,1.11,0.38,0.3802949,29,1.0668,315,45.15135,-94.15057,409548.3,5000413.7
86027100,860271,4234,18020,0,30,NA,12002807,Moose,Moses,2597.994452,35.40193128,145,87.48,88,43,9.7,0.396391346,2.56,0.5,0.99495395,63,4.3875,337,45.22556,-94.23578,403150,5008796.6
86027300,860273,4054,18019,0,24,NA,12002814,French,NA,2829.673622,140.1710898,408,346.37,332,50,16.6,0.646676477,3.83,1.28,0.3636425,156,1.22,22,45.20847,-94.16298,408712.8,5006852.2
86027900,860279,2936,18020,0,25,NA,12102833,West Lake Sylvia,Twin (PWI),2674.983267,365.9939715,1027,904.39,872,97,32.7,0.415496866,12.71,2.67,0.7544598,244,5.49,22,45.24866,-94.21327,404716,5011384.6
86028100,860281,4067,17010,0,24,NA,12102803,Caroline,NA,2785.364712,54.69735976,138,135.16,126,45,15,0.738350731,3.13,1.05,0.40628545,45.9,1.26,270,45.31773,-94.19635,406224.5,5018939
